is_walking,fsr_bottom,fsr_top,top_x,top_y,top_z,top_timestamp,side_x,side_y,side_z,side_timestamp,corner_x,corner_y,corner_z,corner_timestamp,front_x,front_y,front_z,front_timestamp
,0,0,0.0297393799,0.036315918,-1.0071716309,87944.7217075,0.0125579834,-0.9971008301,-0.0360412598,8147.713641,0.0425262451,-0.9933013916,0.0067596436,34659.737733125,0.0665893555,-0.9899139404,0.0305480957,14836.745227375
,0,0,0.0855865479,0.1425933838,-0.9858398438,87944.7626325,0.0124664307,-0.9966888428,-0.036026001,8147.755043,0.054397583,-1.0012817383,0.0238037109,34659.779237125,0.0578155518,-0.9936676025,0.0154418945,14836.787006375
,0,0,0.0561218262,0.0248565674,-1.0034179688,87944.8035565,0.0138092041,-0.9964752197,-0.0352478027,8147.796436,0.0595245361,-0.9976806641,0.0130310059,34659.820741125,0.0444030762,-0.9980773926,0.0131988525,14836.828815375
,0,0,0.0809173584,-0.0416107178,-1.0052337646,87944.8444495,0.0129699707,-0.9976043701,-0.0360107422,8147.837836,0.0425872803,-1.0003204346,0.0037536621,34659.862245125,0.0368804932,-1.0099945068,0.0199127197,14836.870624375
,0,0,0.0726318359,0.1111297607,-0.9839324951,87944.8853735,0.0127410889,-0.9975128174,-0.0366821289,8147.879087,0.0489196777,-0.9924926758,0.0010528564,34659.903749125,0.0373687744,-0.9964141846,0.015625,14836.912402375
,0,0,0.0546112061,0.176864624,-0.9519500732,87944.9262975,0.0133666992,-0.9966430664,-0.0339355469,8147.920488,0.0255737305,-0.9980316162,0.0096435547,34659.945283125,0.0491333008,-0.9996032715,0.0335388184,14836.954211375
,0,0,0.0422058105,0.2414550781,-0.9325714111,87944.9672215,0.0139160156,-0.9964599609,-0.0344085693,8147.96189,0.0252685547,-1.0054473877,0.0065155029,34659.986787125,0.0578308105,-0.9932250977,0.0553131104,14836.996020375
,0,0,0.06690979,0.2197723389,-0.9455566406,87945.0081455,0.013168335,-0.9974060059,-0.0345306396,8148.003292,0.0466461182,-0.9965209961,0.0016021729,34660.028291125,0.0407867432,-0.9975738525,0.0058746338,14837.037799375
,0,0,0.0637207031,0.1175689697,-0.9630432129,87945.0490705,0.0134887695,-0.9969787598,-0.0351715088,8148.044693,0.0523986816,-0.9947052002,0.0275726318,34660.069795125,0.0446472168,-0.9987945557,-0.0359954834,14837.079608375
,0,0,0.0820617676,0.1065673828,-0.9720916748,87945.0899635,0.0138244629,-0.9971466064,-0.0340118408,8148.085942,0.0473480225,-0.998626709,0.0071868896,34660.111299125,0.0511016846,-0.9959564209,-0.0348510742,14837.121387375
,0,0,0.0725402832,0.0963439941,-0.9802093506,87945.1308875,0.013885498,-0.9968414307,-0.0340270996,8148.127338,0.0281982422,-1.0083465576,0.0164794922,34660.152803125,0.0486450195,-0.9992828369,-0.0206298828,14837.163196375
,0,0,0.0766906738,0.0652160645,-0.9949493408,87945.1718115,0.0143585205,-0.9978179932,-0.0351409912,8148.16874,0.0348510742,-0.9962310791,0.0012969971,34660.194307125,0.0390472412,-0.9998168945,0.0299835205,14837.205005375
,0,0,0.0552825928,0.0437316895,-1.0000457764,87945.2127355,0.0155334473,-0.9968566895,-0.0354919434,8148.210139,0.061050415,-0.9969940186,-0.0124816895,34660.235811125,0.0710296631,-0.9928894043,0.0358886719,14837.246783375
,0,0,0.0450439453,0.0598144531,-1.0020751953,87945.2536595,0.0143127441,-0.9951019287,-0.0352783203,8148.251536,0.0629730225,-0.9934692383,0.0242614746,34660.27732225,0.0513305664,-0.9977264404,0.0112915039,14837.288592375
,0,0,0.0623779297,0.072052002,-0.9920196533,87945.2945535,0.0130157471,-0.9960021973,-0.0350189209,8148.292777,0.0310058594,-0.9975738525,0.0031738281,34660.31879525,0.043258667,-0.9980316162,-0.0055389404,14837.330402375
,0,0,0.0741424561,0.0779724121,-0.9945831299,87945.3354775,0.0136260986,-0.9959716797,-0.0351409912,8148.334169,0.0615386963,-0.9991607666,-0.0180664063,34660.36033025,0.0528564453,-0.9958496094,-0.0233764648,14837.372180375
,0,0,0.0761871338,0.0517730713,-0.9942626953,87945.3764015,0.0142059326,-0.9946899414,-0.0343322754,8148.375565,-0.0083312988,-1.0003967285,0.0100402832,34660.40183425,0.0464935303,-0.9968414307,-0.0508422852,14837.413989375
,0,0,0.0527648926,0.0095672607,-1.0064697266,87945.4173255,0.0136413574,-0.9975585938,-0.0355377197,8148.416962,0.0711517334,-1.0021057129,0.0240631104,34660.44333825,0.0547790527,-0.993927002,-0.0552978516,14837.455768375
,0,0,0.0626220703,0.0381011963,-1.0006408691,87945.4582495,0.0139465332,-0.9951019287,-0.0349578857,8148.458365,0.072845459,-1.0050354004,0.0236053467,34660.48484225,0.0471801758,-0.9949035645,-0.0394897461,14837.497577375
,0,0,0.0576934814,0.0187835693,-1.003692627,87945.4991735,0.0137634277,-0.9967041016,-0.0344390869,8148.499606,0.0702056885,-1.0003662109,0.0660400391,34660.52634625,0.0510559082,-0.9955444336,-0.0210723877,14837.5393805417
,0,0,0.0490264893,0.0659484863,-0.9981994629,87945.5400675,0.0135192871,-0.996887207,-0.0356445313,8148.541003,0.0684509277,-0.999420166,0.0395355225,34660.56784925,0.0553894043,-1.0003204346,-0.0082397461,14837.5811585417
,0,0,0.0817718506,0.0316619873,-0.995513916,87945.5809915,0.0143890381,-0.9965515137,-0.035369873,8148.582407,0.0706176758,-0.9904327393,0.03175354,34660.60935325,0.0371856689,-1.0012359619,0.0054931641,14837.6229685417
,0,0,0.0758514404,0.0128631592,-0.9968261719,87945.6219155,0.013885498,-0.9956207275,-0.0366210938,8148.623812,0.0422363281,-1.0007476807,0.0202941895,34660.65085725,0.0647125244,-0.9941558838,0.0029296875,14837.6647775417
,0,0,0.0371856689,0.1249389648,-0.9976043701,87945.6628395,0.0141296387,-0.9965515137,-0.0352630615,8148.665209,0.0617675781,-0.9997253418,0.0208892822,34660.69236125,0.0342254639,-0.9944000244,-0.0025634766,14837.7065555417
,0,0,0.0618896484,0.0393066406,-0.9995422363,87945.7037476667,0.0129699707,-0.9968719482,-0.0363464355,8148.706458,0.054397583,-0.9985961914,0.0098114014,34660.73386525,0.0452423096,-0.9950714111,-0.0171203613,14837.7483645417
,0,0,0.0490875244,0.0071868896,-0.9998321533,87945.7446416667,0.0131072998,-0.9972991943,-0.0349273682,8148.747856,0.0471343994,-0.998260498,0.0090484619,34660.77536925,0.0621337891,-0.9980773926,-0.0352783203,14837.7901435417
,0,0,0.0697021484,0.2250213623,-0.9801483154,87945.7855656667,0.0140075684,-0.996383667,-0.0341796875,8148.789251,0.0618591309,-0.9976348877,0.0208740234,34660.81687325,0.0336303711,-1.0061645508,-0.0099182129,14837.8319525417
,0,0,0.0788116455,0.0335388184,-0.9880371094,87945.8264896667,0.0143890381,-0.9968719482,-0.0356445313,8148.830644,0.0442962646,-0.9978637695,0.0285339355,34660.85840725,0.0616149902,-0.9898376465,-0.0287322998,14837.8737615417
,0,0,0.0505523682,-0.0828094482,-1.0062561035,87945.8674136667,0.0149536133,-0.9950256348,-0.0361175537,8148.872023,0.0701751709,-0.9981384277,0.0195922852,34660.89988125,0.0608825684,-0.9930267334,-0.0213928223,14837.9155405417
,0,0,0.0760345459,0.2199401855,-0.999206543,87945.9083066667,0.0129852295,-0.9958496094,-0.0361022949,8148.91328,0.0442657471,-0.9975891113,0.021697998,34660.94141525,0.0349121094,-0.9966888428,0.009475708,14837.9573495417
,0,0,0.0557403564,0.0624389648,-0.9979095459,87945.9492316667,0.013671875,-0.9972839355,-0.0356445313,8148.954675,0.0644226074,-0.9960327148,0.0162811279,34660.98291925,0.0478210449,-1.0104980469,0.0370483398,14837.9991585417
,0,0,0.0316772461,-0.0269012451,-0.9982299805,87945.9901556667,0.0133514404,-0.9967956543,-0.0356445313,8148.996071,0.0445251465,-0.9969940186,0.0275421143,34661.02442325,0.0403594971,-0.9899291992,0.0424804688,14838.0409365417
,0,0,0.0699462891,0.2946166992,-0.9807128906,87946.0310796667,0.0128479004,-0.9966125488,-0.035949707,8149.037477,0.0881195068,-0.9989013672,0.0390319824,34661.06592725,0.0717468262,-0.9909210205,-6.103515625E-05,14838.0827455417
,0,0,0.0776672363,0.1155700684,-0.9801635742,87946.0720036667,0.0141601563,-0.9965820313,-0.0342712402,8149.078879,0.0462188721,-1.001953125,0.0231323242,34661.10743125,0.0564422607,-0.9868011475,0.0245513916,14838.1245545417
,0,0,0.0536956787,-0.1557312012,-1.0065460205,87946.1129276667,0.0145263672,-0.9966125488,-0.0365447998,8149.120129,0.0570373535,-0.9991912842,0.014251709,34661.14893525,0.0373840332,-1.0128326416,0.0239715576,14838.1663335417
,0,0,0.0077362061,0.1056976318,-0.9792022705,87946.1538516667,0.0110168457,-0.9998016357,-0.0537872314,8149.161531,0.0404815674,-0.9992370605,0.010055542,34661.19043925,0.0503997803,-0.9928588867,0.0377502441,14838.2081425417
,0,0,0.1013336182,0.267868042,-0.9962615967,87946.1947756667,0.019241333,-0.9996337891,-0.0276489258,8149.202935,0.0372314453,-1.0037231445,0.0028533936,34661.23194225,0.0665435791,-0.9915771484,0.0348815918,14838.2499215417
,0,0,0.1259460449,-0.1121826172,-1.0277862549,87946.2356996667,0.0144958496,-0.9996490479,-0.0731811523,8149.244336,0.0435180664,-1.0009307861,-0.0128326416,34661.273453875,0.0489959717,-1.001449585,-0.0151367188,14838.2917305417
,0,0,0.007232666,-0.0118713379,-0.9973297119,87946.2766236667,0.0155029297,-0.9961090088,-0.0178375244,8149.285738,0.0464172363,-1.0024871826,-0.00440979,34661.314957875,0.0557098389,-0.9971923828,-0.010925293,14838.3335395417
,0,0,0.0122833252,0.3021850586,-0.9642181396,87946.3175476667,0.0142974854,-0.9972076416,-0.0533752441,8149.326989,0.0503387451,-0.9993896484,-0.0115509033,34661.356461875,0.0674133301,-1.0019226074,0.000793457,14838.3753175417
,0,0,0.0867614746,0.2372894287,-1.0037994385,87946.3584716667,0.0159454346,-0.9986877441,-0.0209960938,8149.368387,0.0329742432,-0.9947357178,0.0023498535,34661.397965875,0.0487823486,-0.9936065674,0.0435333252,14838.4171275417
,0,0,0.0940704346,-0.053894043,-1.0238037109,87946.3993956667,0.0159454346,-0.9962005615,-0.0498046875,8149.409786,0.0372009277,-1.0144195557,0.0151519775,34661.439469875,0.08984375,-0.9818878174,0.0594177246,14838.4589365417
,0,0,0.0239562988,-0.0124359131,-0.9840087891,87946.4402896667,0.0112304688,-0.9978485107,-0.0399780273,8149.451182,0.0528564453,-1.0030670166,0.0146789551,34661.480973875,0.0904388428,-0.9828186035,0.0736999512,14838.5007145417
,0,0,0.0625152588,0.1270294189,-0.9806518555,87946.4812136667,0.0136260986,-0.9967498779,-0.0354309082,8149.492576,0.0606079102,-0.9995117188,0.0124359131,34661.522477875,0.0456237793,-0.9739685059,0.0805664063,14838.542502375
,0,0,0.0765991211,0.1551361084,-1.0008239746,87946.5221376667,0.0098876953,-0.9972686768,-0.0356140137,8149.533825,0.0251617432,-1.005279541,0.0062408447,34661.563981875,0.0104827881,-1.0255584717,0.0038909912,14838.584311375
,0,0,0.0932312012,0.0313568115,-1.0200500488,87946.5630616667,0.0182647705,-0.9959869385,-0.0316009521,8149.575219,0.05909729,-1.0005493164,0.0133056641,34661.605515875,-0.0130615234,-1.0268249512,0.0013275146,14838.626090375
,0,0,0.0527801514,-0.0258789063,-1.0069732666,87946.6039856667,0.0136871338,-0.9966278076,-0.029510498,8149.616614,0.0443878174,-0.9947662354,0.0232086182,34661.646988875,0.025894165,-1.0135192871,0.0378112793,14838.667899375
,0,0,0.0415496826,0.0849456787,-0.9902191162,87946.6449096667,0.011428833,-0.9973449707,-0.0479736328,8149.658014,0.0681762695,-0.9974517822,0.0258026123,34661.688523875,0.0569763184,-0.9913024902,0.0573883057,14838.709678375
,0,0,0.0520629883,0.1619262695,-0.9922943115,87946.6858070417,0.0108184814,-0.9973144531,-0.0386505127,8149.699411,0.0480499268,-1.0013275146,0.027923584,34661.730027875,0.0629272461,-0.9932556152,0.0442810059,14838.751487375
,0,0,0.0756378174,0.0414581299,-1.003616333,87946.7267310417,0.0137176514,-0.9953765869,-0.040145874,8149.740657,0.0574035645,-0.995880127,0.021987915,34661.771531875,0.0420684814,-0.9969482422,0.0252075195,14838.793296375
,0,0,0.0754699707,0.0375366211,-0.9985961914,87946.7676550417,0.0138549805,-0.9978790283,-0.0241394043,8149.782063,0.0502319336,-0.9936523438,0.0121307373,34661.813035875,0.043838501,-0.9980926514,0.0085906982,14838.835074375
,0,0,0.0921783447,0.0388031006,-0.9993743896,87946.8085800417,0.0202178955,-0.9974975586,-0.0328521729,8149.823464,0.0491485596,-1.004196167,0.0101013184,34661.854539875,0.0450744629,-0.9980316162,-0.0003967285,14838.876883375
,0,0,0.088180542,0.0605316162,-1.0051422119,87946.8495040417,0.0095367432,-0.9963531494,-0.0289154053,8149.864862,0.0610198975,-0.9978485107,0.0274963379,34661.896042875,0.0432434082,-0.9979553223,0.0016174316,14838.918692375
,0,0,0.0677337646,0.1012115479,-0.994720459,87946.8904280417,0.0208740234,-0.9990692139,-0.0440063477,8149.906255,0.0636291504,-0.9980010986,0.0389709473,34661.937546875,0.0440826416,-0.9973449707,-0.0031585693,14838.960471375
,0,0,0.0635986328,0.008026123,-1.0054931641,87946.9313520417,0.0122375488,-0.995803833,-0.0266571045,8149.947504,0.0880126953,-0.9940338135,0.0399780273,34661.979050875,0.036315918,-0.9998626709,-0.0041656494,14839.002280375
,0,0,0.0380706787,0.0224914551,-0.9999237061,87946.9722760417,0.020401001,-1.0010070801,-0.04347229,8149.988905,0.0652008057,-0.9940490723,0.020690918,34662.020554875,0.0426635742,-0.9974365234,0.0110778809,14839.044089375
,0,0,0.0652160645,0.051940918,-1.0003967285,87947.0132000417,0.0075683594,-0.9966583252,-0.0394897461,8150.030305,0.057220459,-1.001739502,0.025177002,34662.062058875,0.044418335,-0.9957580566,0.0092010498,14839.085868375
,0,0,0.0626373291,0.0617675781,-0.99659729,87947.0541240417,0.010848999,-0.9978790283,-0.0271606445,8150.071704,0.0379333496,-0.9975585938,0.0175170898,34662.103562875,0.0474090576,-0.9942779541,-0.0371704102,14839.127677375
,0,0,0.0565185547,0.0162353516,-1.0055847168,87947.0950480417,0.0093994141,-0.9988861084,-0.0210571289,8150.113105,0.04637146,-1.0073547363,0.0079345703,34662.145066875,0.0498352051,-0.9968414307,-0.0509033203,14839.169486375
,0,0,0.0724945068,0.0626373291,-0.9965057373,87947.1359720417,0.0086517334,-0.99559021,-0.0521087646,8150.154358,0.059753418,-0.9992370605,0.0236206055,34662.186570875,0.0303649902,-1.0008087158,-0.0461883545,14839.211264375
,0,0,0.0581665039,0.0809326172,-0.9923095703,87947.1768960417,0.021987915,-0.9963531494,-0.0300445557,8150.195757,0.0409851074,-0.9996032715,0.0100708008,34662.228074875,0.0390777588,-1.001663208,-0.0238647461,14839.253074375
,0,0,0.0277557373,0.0400238037,-1.0043487549,87947.2178200417,0.0227966309,-0.9961242676,-0.0359802246,8150.237155,0.0503234863,-0.998260498,0.0051574707,34662.2695827917,0.057800293,-0.9999237061,0.0013275146,14839.294852375
,0,0,0.0295257568,0.0527954102,-1.0015869141,87947.2587440417,0.0098419189,-0.9954071045,-0.0384521484,8150.278552,0.0441436768,-1.0006713867,0.0153503418,34662.3110867917,0.0610046387,-0.9897613525,-0.0122375488,14839.336661375
,0,0,0.0812072754,0.0570526123,-0.994934082,87947.2996680417,0.0073852539,-0.9972229004,-0.0361938477,8150.319936,0.0541687012,-0.9953308105,0.0204925537,34662.3525897917,0.0612945557,-0.9928131104,-0.0142364502,14839.378470375
,0,0,0.0712127686,0.0008850098,-1.0032806396,87947.3405920417,0.0180053711,-0.9957885742,-0.0326843262,8150.361204,0.0523071289,-0.9983215332,-0.0009155273,34662.3940937917,0.0459594727,-0.9937896729,-0.0017547607,14839.420249375
,0,0,0.0636291504,0.0215606689,-1.0018920898,87947.3814860417,0.0104827881,-0.9964599609,-0.0418243408,8150.402605,0.0355682373,-0.9992218018,-0.0015869141,34662.4355977917,0.038772583,-1.0009155273,-0.0096893311,14839.462058375
,0,0,0.0566711426,0.0206756592,-1.0011444092,87947.4224100417,0.0151519775,-0.9968261719,-0.0392150879,8150.444009,0.0512390137,-0.9998168945,0.0057220459,34662.4771017917,0.0431213379,-0.9988861084,0.0028381348,14839.503867375
,0,0,0.0432891846,0.0266876221,-0.9982299805,87947.4633340417,0.0123443604,-0.9954071045,-0.0295715332,8150.485416,0.0333709717,-0.994140625,0.0151824951,34662.5186367917,0.0584106445,-0.991897583,-0.0168304443,14839.545675875
,0,0,0.0712585449,0.0522613525,-1.000579834,87947.5042580417,0.0097351074,-0.9966583252,-0.0192718506,8150.526826,0.0315856934,-1.0009918213,0.0081481934,34662.5601097917,0.0576629639,-1.0085906982,-0.002746582,14839.587454875
,0,0,0.063079834,0.0593261719,-0.9891357422,87947.5451820417,0.0220489502,-0.9952545166,-0.0450592041,8150.568083,0.0489959717,-0.9939880371,0.0112304688,34662.6016437917,0.0498809814,-0.9870452881,-0.0093231201,14839.629263875
,0,0,0.0702667236,0.0073547363,-1.0013885498,87947.5861060417,0.01902771,-0.9967803955,-0.0430755615,8150.609486,0.0564727783,-0.9953613281,0.0211334229,34662.6431477917,0.0475006104,-0.9968109131,-0.0050506592,14839.671072875
,0,0,0.0643768311,0.0129547119,-0.9940490723,87947.6270300417,0.0046844482,-0.9982299805,-0.0434875488,8150.650886,0.0473632813,-1.0037689209,0.0064849854,34662.6846517917,0.0348358154,-1.002166748,-0.0332946777,14839.712850875
,0,0,0.0653076172,0.0233764648,-1.0000762939,87947.6679550417,0.015625,-0.9985351563,-0.0335540771,8150.692288,0.0566253662,-0.9994659424,0.0261077881,34662.7261557917,0.0390167236,-0.9988861084,0.0036621094,14839.754659875
,0,0,0.0453491211,0.1410369873,-0.9978790283,87947.708861125,0.0029754639,-0.9986572266,-0.0500946045,8150.733688,0.0433044434,-1.0009613037,0.0270843506,34662.7676597917,0.0309295654,-0.9951629639,-0.0203857422,14839.796469875
,0,0,0.05519104,0.0841522217,-1.0081329346,87947.749785125,-0.0286102295,-0.9777374268,-0.0641479492,8150.774943,0.0578918457,-0.9973602295,0.0092773438,34662.8091637917,0.0745849609,-0.994720459,-0.0007781982,14839.838247875
,0,0,0.0202026367,0.0691680908,-0.9988708496,87947.790709125,0.0144348145,-0.9947357178,-0.0255126953,8150.816349,0.0498046875,-0.9977722168,0.0094909668,34662.8506677917,0.0432128906,-1.0053863525,-0.0306396484,14839.880056875
,0,0,0.0618896484,0.0868835449,-0.996673584,87947.831602125,0.0209350586,-0.9924926758,-0.0316009521,8150.85775,0.037979126,-1.0013275146,0.0324249268,34662.8921717917,0.0654296875,-0.9920043945,-0.031036377,14839.921865875
,0,0,0.0805511475,0.0500030518,-0.9954681396,87947.872526125,0.0280456543,-0.9964904785,-0.0260467529,8150.899155,0.0540008545,-0.9965820313,0.0241699219,34662.9336757917,0.0541534424,-1.0024108887,-0.0050201416,14839.963644875
,0,0,0.034286499,0.0127716064,-1.0100708008,87947.913450125,0.0296783447,-0.994430542,-0.0309448242,8150.940561,0.0625305176,-1.0021362305,0.0189361572,34662.9751797917,0.0523681641,-1.0001373291,0.0307312012,14840.005453875
,0,0,0.0890350342,0.113067627,-0.9822387695,87947.954375125,0.0058441162,-1.0000610352,-0.0330200195,8150.981815,0.0769500732,-1.0000305176,0.0436706543,34663.0166827917,0.0530853271,-0.9966583252,0.0144958496,14840.047262875
,0,0,0.1265563965,0.2227020264,-0.9816894531,87947.995299125,-0.0043029785,-0.9952087402,-0.0496063232,8151.023215,0.0688476563,-0.9986877441,0.0391082764,34663.0581867917,0.0538787842,-0.9920043945,0.0097351074,14840.089041875
,0,0,0.0187988281,0.0109558105,-0.9824523926,87948.036223125,0.0069122314,-1.001083374,-0.0603179932,8151.064617,0.0584716797,-1.001953125,0.0471343994,34663.0996907917,0.0542755127,-0.9910888672,0.0188598633,14840.130850875
,0,0,0.0392608643,-0.0040130615,-1.0287475586,87948.077116125,-0.0119934082,-0.998916626,-0.0304260254,8151.106014,0.0604553223,-1.0055847168,0.0102233887,34663.1411947917,0.0501708984,-1.0002441406,0.0358276367,14840.172659875
,0,0,0.0564422607,0.2340087891,-0.9535522461,87948.118040125,-0.0176849365,-0.9960784912,-0.0581359863,8151.147409,0.0470428467,-1.0002288818,0.0171966553,34663.1826987917,0.0643768311,-0.9888458252,0.0617218018,14840.214437875
,0,0,0.0448608398,0.0115509033,-1.0021057129,87948.158964125,-0.0110321045,-0.9947052002,-0.0441131592,8151.188644,0.0495300293,-0.9991455078,0.0154266357,34663.2242027917,0.0449371338,-1.0005645752,0.047164917,14840.256246875
,0,0,0.0418701172,0.0568695068,-1.0022125244,87948.199888125,-0.0046386719,-0.9966430664,-0.0208740234,8151.230037,0.0494537354,-0.9948120117,0.0194549561,34663.265710375,0.0505523682,-0.9899139404,0.0433044434,14840.298055875
,0,0,0.055557251,0.0411987305,-1.0044555664,87948.240782125,-0.0010681152,-1.0043487549,-0.0262298584,8151.271438,0.0549316406,-0.9947967529,0.0215759277,34663.307214375,0.0605316162,-0.9876861572,0.0373077393,14840.339834875
,0,0,0.0865478516,0.052947998,-0.999130249,87948.281706125,0.0004882813,-0.9929351807,-0.0578155518,8151.312835,0.0740966797,-0.9916381836,0.0299835205,34663.348718375,0.0787658691,-0.9929199219,-0.001739502,14840.381643875
,0,0,0.0773925781,0.015411377,-1.0024261475,87948.322630125,0.0358734131,-1.0109710693,-0.0467529297,8151.354235,0.0536346436,-0.9998016357,0.0367431641,34663.390191375,0.0682830811,-0.9874725342,0.0072937012,14840.423452875
,0,0,0.0704040527,0.0068206787,-1.0042572021,87948.363524125,0.0320129395,-1.0196228027,-0.0174560547,8151.395484,0.0562286377,-0.9967651367,0.0176544189,34663.431726375,0.0445098877,-0.989151001,-0.005279541,14840.465231875
,0,0,0.0572662354,0.0633087158,-1.0016937256,87948.404448125,-0.0030822754,-0.974609375,-0.0202789307,8151.436886,0.0432281494,-0.996887207,0.0162963867,34663.473199375,-0.029876709,-1.0298919678,0.0209350586,14840.507048125
,0,0,0.0483856201,0.1231689453,-0.9928436279,87948.445372125,0.0225067139,-1.0040435791,-0.0463562012,8151.478285,0.0466308594,-0.9989471436,0.007522583,34663.514703375,0.0796661377,-0.9933929443,0.1054840088,14840.548857125
,0,0,0.0411224365,0.0599975586,-1.0011749268,87948.486296125,0.0085296631,-0.9791717529,-0.0655670166,8151.519691,0.0509643555,-0.9927368164,0.0060424805,34663.556207375,0.0319213867,-0.9999084473,0.1197814941,14840.590635125
,0,0,0.0468902588,0.0758056641,-0.9969482422,87948.527189125,0.0274810791,-0.9864196777,-0.0640563965,8151.5611,0.0417022705,-0.9991455078,0.0046234131,34663.597711375,0.0562591553,-0.9971313477,0.0929107666,14840.632445125
,0,0,0.0766906738,0.0702972412,-1.0000762939,87948.568114125,0.0724945068,-1.0200958252,-0.0089416504,8151.602352,0.0266571045,-1.0063323975,0.0036315918,34663.639215375,0.047088623,-0.9940032959,0.0333251953,14840.674254125
,0,0,0.0787658691,0.03074646,-1.0015563965,87948.609038125,0.0380706787,-1.0316162109,-0.0096435547,8151.643751,0.0753326416,-0.9998474121,0.0176544189,34663.680718375,0.0353393555,-0.9951019287,-0.018371582,14840.716063125
,0,0,0.080581665,0.0833282471,-0.9993286133,87948.649962125,0.0419616699,-1.0310211182,-0.0382537842,8151.685154,0.0441589355,-0.9967498779,0.0198364258,34663.722222375,0.0527954102,-0.9970245361,0.0086517334,14840.757841125
